sepalL1,sepalW1,petalL1,petalW1,sepalL2,sepalW2,petalL2,peatalW2,sepalL3,sepalW3,petalL3,petalW3,sepalL,sample,,,Type,Value
5.1,3.5,1.4,0.2,7,3.2,4.7,1.4,6.3,3.3,6,2.5,5.1,1,,,sepalL1,5.1
4.9,3,1.4,0.2,6.4,3.2,4.5,1.5,5.8,2.7,5.1,1.9,4.9,1,,,sepalL1,4.9
4.7,3.2,1.3,0.2,6.9,3.1,4.9,1.5,7.1,3,5.9,2.1,4.7,1,,,sepalL1,4.7
4.6,3.1,1.5,0.2,5.5,2.3,4,1.3,6.3,2.9,5.6,1.8,4.6,1,,,sepalL1,4.6
5,3.6,1.4,0.2,6.5,2.8,4.6,1.5,6.5,3,5.8,2.2,5,1,,,sepalL1,5
5.4,3.9,1.7,0.4,5.7,2.8,4.5,1.3,7.6,3,6.6,2.1,5.4,1,,,sepalL1,5.4
4.6,3.4,1.4,0.3,6.3,3.3,4.7,1.6,4.9,2.5,4.5,1.7,4.6,1,,,sepalL1,4.6
5,3.4,1.5,0.2,4.9,2.4,3.3,1,7.3,2.9,6.3,1.8,5,1,,,sepalL1,5
4.4,2.9,1.4,0.2,6.6,2.9,4.6,1.3,6.7,2.5,5.8,1.8,4.4,1,,,sepalL1,4.4
4.9,3.1,1.5,0.1,5.2,2.7,3.9,1.4,7.2,3.6,6.1,2.5,4.9,1,,,sepalL1,4.9
5.4,3.7,1.5,0.2,5,2,3.5,1,6.5,3.2,5.1,2,5.4,1,,,sepalL1,5.4
4.8,3.4,1.6,0.2,5.9,3,4.2,1.5,6.4,2.7,5.3,1.9,4.8,1,,,sepalL1,4.8
4.8,3,1.4,0.1,6,2.2,4,1,6.8,3,5.5,2.1,4.8,1,,,sepalL1,4.8
4.3,3,1.1,0.1,6.1,2.9,4.7,1.4,5.7,2.5,5,2,4.3,1,,,sepalL1,4.3
5.8,4,1.2,0.2,5.6,2.9,3.6,1.3,5.8,2.8,5.1,2.4,5.8,1,,,sepalL1,5.8
5.7,4.4,1.5,0.4,6.7,3.1,4.4,1.4,6.4,3.2,5.3,2.3,5.7,1,,,sepalL1,5.7
5.4,3.9,1.3,0.4,5.6,3,4.5,1.5,6.5,3,5.5,1.8,5.4,1,,,sepalL1,5.4
5.1,3.5,1.4,0.3,5.8,2.7,4.1,1,7.7,3.8,6.7,2.2,5.1,1,,,sepalL1,5.1
5.7,3.8,1.7,0.3,6.2,2.2,4.5,1.5,7.7,2.6,6.9,2.3,5.7,1,,,sepalL1,5.7
5.1,3.8,1.5,0.3,5.6,2.5,3.9,1.1,6,2.2,5,1.5,5.1,1,,,sepalL1,5.1
5.4,3.4,1.7,0.2,5.9,3.2,4.8,1.8,6.9,3.2,5.7,2.3,5.4,1,,,sepalL1,5.4
5.1,3.7,1.5,0.4,6.1,2.8,4,1.3,5.6,2.8,4.9,2,5.1,1,,,sepalL1,5.1
4.6,3.6,1,0.2,6.3,2.5,4.9,1.5,7.7,2.8,6.7,2,4.6,1,,,sepalL1,4.6
5.1,3.3,1.7,0.5,6.1,2.8,4.7,1.2,6.3,2.7,4.9,1.8,5.1,1,,,sepalL1,5.1
